spliced,unspliced,Entry,Length,spliced_peptides_per_thousand_residues
1.0,0.0,P17096,107,9.345794392523365
2.0,2.0,P50914,215,9.30232558139535
1.0,0.0,A6NM66,108,9.25925925925926
1.0,0.0,Q5VUM1,108,9.25925925925926
1.0,0.0,P62942,108,9.25925925925926
2.0,5.0,P62993,217,9.216589861751151
3.0,2.0,O75190,326,9.202453987730062
3.0,6.0,Q7L5N1,327,9.174311926605505
1.0,0.0,P0CE71,109,9.174311926605505
2.0,3.0,P49755,219,9.1324200913242
4.0,2.0,Q14142,442,9.04977375565611
3.0,2.0,P00338,332,9.036144578313253
1.0,0.0,P06454,111,9.00900900900901
2.0,0.0,Q9BY43,222,9.00900900900901
2.0,0.0,Q6ZUL3,223,8.968609865470851
3.0,0.0,P0C7Q5,338,8.875739644970414
1.0,0.0,Q8N2U0,113,8.849557522123893
1.0,0.0,Q86UU9,113,8.849557522123893
1.0,2.0,O60739,113,8.849557522123893
2.0,10.0,Q15005,226,8.849557522123893
5.0,0.0,Q9UK80,565,8.849557522123893
2.0,0.0,O75391,227,8.81057268722467
1.0,3.0,E9PQ53,114,8.771929824561402
1.0,1.0,Q9BRT3,115,8.695652173913043
1.0,0.0,Q5JNZ5,115,8.695652173913043
1.0,3.0,Q8WUH6,116,8.620689655172413
2.0,2.0,Q9NX09,232,8.620689655172413
3.0,7.0,Q9BW91,350,8.571428571428571
2.0,0.0,P24001,234,8.547008547008549
1.0,0.0,Q96KX1,117,8.547008547008549
1.0,7.0,P49207,117,8.547008547008549
2.0,0.0,Q9BX46,236,8.474576271186441
1.0,1.0,P58546,118,8.474576271186441
2.0,0.0,Q66K80,236,8.474576271186441
1.0,1.0,P62314,119,8.403361344537815
1.0,0.0,Q765I0,119,8.403361344537815
3.0,0.0,Q96D42,359,8.356545961002785
6.0,0.0,A6NGR9,719,8.344923504867872
2.0,3.0,P28066,241,8.298755186721992
3.0,0.0,P46095,362,8.287292817679557
2.0,2.0,Q9Y2R9,242,8.264462809917356
1.0,0.0,P09683,121,8.264462809917356
3.0,0.0,Q6PGN9,363,8.264462809917356
1.0,1.0,P35244,121,8.264462809917356
3.0,2.0,Q99961,368,8.152173913043478
5.0,9.0,P17844,614,8.143322475570033
1.0,0.0,P06331,123,8.130081300813009
1.0,0.0,Q8N3U1,123,8.130081300813009
3.0,4.0,P31785,369,8.130081300813009
2.0,0.0,F5H4A9,247,8.097165991902834
2.0,3.0,Q5SWH9,247,8.097165991902834
2.0,0.0,Q7Z7J7,247,8.097165991902834
2.0,9.0,P18124,248,8.064516129032258
1.0,0.0,A6NDX4,124,8.064516129032258
1.0,10.0,P62851,125,8.0
1.0,0.0,O14598,125,8.0
2.0,1.0,P13284,250,8.0
1.0,0.0,Q9P1U0,126,7.936507936507936
1.0,1.0,Q9BRT2,126,7.936507936507936
2.0,6.0,P33316,252,7.936507936507936
1.0,15.0,O60814,126,7.936507936507936
2.0,1.0,Q96S44,253,7.905138339920948
1.0,0.0,Q9NRJ3,127,7.874015748031496
1.0,0.0,Q6X4T0,127,7.874015748031496
1.0,1.0,Q9BT23,127,7.874015748031496
3.0,0.0,P0DKB5,382,7.853403141361256
2.0,0.0,Q8IY45,258,7.751937984496124
1.0,1.0,Q6UXT8,129,7.751937984496124
1.0,3.0,Q9Y2R5,130,7.6923076923076925
1.0,0.0,Q8NBB2,130,7.6923076923076925
1.0,3.0,P04908,130,7.6923076923076925
1.0,0.0,Q9H8W2,130,7.6923076923076925
2.0,0.0,Q13156,261,7.662835249042145
1.0,0.0,Q9H098,131,7.633587786259541
2.0,0.0,O43736,263,7.604562737642586
1.0,0.0,O00253,132,7.575757575757576
1.0,0.0,Q8N9H6,132,7.575757575757576
4.0,3.0,Q8IZF4,528,7.575757575757576
5.0,6.0,P20591,662,7.552870090634442
4.0,5.0,P14618,531,7.532956685499058
1.0,0.0,Q01628,133,7.518796992481203
3.0,7.0,P00973,400,7.5
2.0,2.0,P78346,268,7.462686567164179
1.0,0.0,Q02363,134,7.462686567164179
1.0,1.0,P16860,134,7.462686567164179
3.0,0.0,Q5EBL4,403,7.444168734491315
2.0,1.0,Q5VUJ9,269,7.434944237918216
3.0,8.0,P11309,404,7.425742574257425
1.0,0.0,P0C880,135,7.407407407407407
1.0,0.0,J3KSC0,135,7.407407407407407
2.0,0.0,Q00169,270,7.407407407407407
1.0,6.0,P61353,136,7.352941176470588
1.0,0.0,Q6P5S7,137,7.299270072992701
1.0,0.0,Q9Y3E2,137,7.299270072992701
1.0,9.0,P46779,137,7.299270072992701
1.0,1.0,Q8NE65,137,7.299270072992701
1.0,0.0,Q9H1P6,137,7.299270072992701
2.0,0.0,Q96PP4,275,7.2727272727272725
2.0,0.0,Q6BCY4,276,7.246376811594203
1.0,3.0,O15235,138,7.246376811594203
1.0,0.0,Q495D7,138,7.246376811594203
3.0,2.0,Q8N5F7,415,7.228915662650603
1.0,0.0,P0C879,139,7.194244604316547
2.0,0.0,Q8WXK3,278,7.194244604316547
3.0,11.0,P37268,417,7.194244604316547
3.0,1.0,Q9GZT5,417,7.194244604316547
4.0,2.0,Q9NY61,560,7.142857142857142
1.0,0.0,P49450,140,7.142857142857142
1.0,0.0,O94772,140,7.142857142857142
1.0,0.0,Q6GMV3,140,7.142857142857142
1.0,2.0,P07737,140,7.142857142857142
2.0,2.0,P0CG22,281,7.117437722419928
1.0,0.0,P09228,141,7.092198581560283
3.0,2.0,Q9NXH8,423,7.092198581560283
3.0,2.0,Q96BI1,424,7.0754716981132075
2.0,1.0,Q4V9L6,283,7.067137809187279
1.0,0.0,Q9Y3D5,142,7.042253521126761
2.0,4.0,Q9ULR0,285,7.017543859649123
4.0,2.0,Q9Y5P8,575,6.9565217391304355
2.0,0.0,P61266,288,6.944444444444444
3.0,5.0,P06733,434,6.912442396313365
1.0,2.0,P39019,145,6.896551724137931
1.0,0.0,P01034,146,6.8493150684931505
2.0,0.0,Q8WY41,292,6.8493150684931505
1.0,0.0,O43169,146,6.8493150684931505
2.0,1.0,P30281,292,6.8493150684931505
1.0,0.0,Q6ZPB5,146,6.8493150684931505
2.0,1.0,Q9NRD1,293,6.825938566552901
3.0,3.0,Q8TF74,440,6.8181818181818175
1.0,0.0,P51668,147,6.802721088435374
1.0,0.0,P02042,147,6.802721088435374
1.0,0.0,Q14507,147,6.802721088435374
1.0,0.0,Q96NS8,147,6.802721088435374
4.0,7.0,P14866,589,6.791171477079796
4.0,5.0,P30153,589,6.791171477079796
2.0,3.0,Q9Y320,296,6.756756756756757
1.0,0.0,Q8NCQ2,148,6.756756756756757
1.0,0.0,Q9H1H1,148,6.756756756756757
1.0,0.0,Q5SSQ6,148,6.756756756756757
3.0,12.0,P60228,445,6.741573033707866
1.0,0.0,P27482,149,6.7114093959731544
2.0,0.0,O95407,300,6.666666666666667
2.0,0.0,Q969T7,300,6.666666666666667
2.0,1.0,Q8WZ71,300,6.666666666666667
2.0,0.0,Q96PS8,301,6.644518272425249
1.0,0.0,Q9Y6H1,151,6.622516556291391
1.0,0.0,O14960,151,6.622516556291391
1.0,0.0,P56539,151,6.622516556291391
1.0,0.0,Q6ZTY9,151,6.622516556291391
1.0,2.0,P62263,151,6.622516556291391
1.0,0.0,P22392,152,6.578947368421052
1.0,0.0,Q9Y3D6,152,6.578947368421052
4.0,0.0,P02768,609,6.568144499178982
1.0,0.0,P21145,153,6.5359477124183005
1.0,2.0,Q9BPX5,153,6.5359477124183005
1.0,0.0,Q9Y534,153,6.5359477124183005
1.0,1.0,Q9NX24,153,6.5359477124183005
3.0,0.0,Q4VC12,460,6.521739130434782
2.0,2.0,Q9NTX5,307,6.514657980456026
1.0,1.0,A2VDF0,154,6.493506493506494
1.0,0.0,Q8NBF4,154,6.493506493506494
1.0,7.0,P63241,154,6.493506493506494
2.0,0.0,Q8NGI8,311,6.430868167202572
2.0,5.0,P53007,311,6.430868167202572
2.0,0.0,Q8IXY8,311,6.430868167202572
2.0,1.0,Q8NAV1,312,6.41025641025641
2.0,0.0,Q6FI81,312,6.41025641025641
1.0,0.0,Q5TG53,156,6.41025641025641
1.0,0.0,Q9H1E1,156,6.41025641025641
2.0,0.0,A6NM76,312,6.41025641025641
2.0,1.0,Q9HC98,313,6.3897763578274756
2.0,0.0,Q5MJ70,313,6.3897763578274756
2.0,2.0,Q6UXN9,313,6.3897763578274756
3.0,1.0,Q8NI99,470,6.382978723404255
1.0,3.0,Q9UBK9,157,6.369426751592357
2.0,0.0,P0C626,314,6.369426751592357
1.0,0.0,Q86SX6,157,6.369426751592357
2.0,0.0,Q8NHB1,315,6.349206349206349
2.0,0.0,Q8NFV4,315,6.349206349206349
2.0,3.0,Q9H2D1,315,6.349206349206349
1.0,1.0,P10124,158,6.329113924050633
2.0,2.0,Q13829,316,6.329113924050633
1.0,15.0,P62280,158,6.329113924050633
2.0,0.0,Q96BM1,317,6.309148264984227
2.0,0.0,P12318,317,6.309148264984227
1.0,0.0,Q86T20,159,6.289308176100629
1.0,1.0,Q3ZCQ3,159,6.289308176100629
2.0,1.0,Q9Y385,318,6.289308176100629
1.0,0.0,Q8N912,160,6.25
3.0,7.0,Q13547,482,6.224066390041493
1.0,0.0,Q969E3,161,6.211180124223602
1.0,0.0,Q9H2H8,161,6.211180124223602
1.0,0.0,P53816,162,6.172839506172839
1.0,0.0,Q9NWW9,162,6.172839506172839
2.0,8.0,Q13347,325,6.153846153846154
4.0,1.0,Q14680,651,6.1443932411674345
1.0,0.0,Q6ZS92,163,6.134969325153374
1.0,1.0,Q9Y3D0,163,6.134969325153374
1.0,0.0,Q9BTA0,163,6.134969325153374
3.0,1.0,Q6UX01,489,6.134969325153374
1.0,0.0,Q96MF4,163,6.134969325153374
2.0,4.0,Q86V86,326,6.134969325153374
2.0,0.0,Q69YI7,327,6.116207951070336
1.0,5.0,Q8TDP1,164,6.097560975609756
1.0,0.0,Q9NUB4,165,6.0606060606060606
1.0,0.0,Q496H8,165,6.0606060606060606
1.0,0.0,Q8N9N8,165,6.0606060606060606
1.0,4.0,P61968,165,6.0606060606060606
1.0,0.0,P60981,165,6.0606060606060606
1.0,2.0,P05161,165,6.0606060606060606
2.0,0.0,Q6PKX4,331,6.042296072507553
1.0,0.0,Q8TD06,166,6.024096385542169
1.0,0.0,P55273,166,6.024096385542169
1.0,0.0,Q96RJ6,166,6.024096385542169
1.0,0.0,P0C2L3,166,6.024096385542169
1.0,0.0,Q8IZT9,166,6.024096385542169
1.0,0.0,Q96EL2,167,5.9880239520958085
1.0,0.0,O15273,167,5.9880239520958085
1.0,0.0,A1L4Q6,167,5.9880239520958085
2.0,1.0,O94766,335,5.970149253731344
1.0,1.0,Q96HE8,168,5.952380952380952
1.0,0.0,A8MZ59,168,5.952380952380952
1.0,3.0,P59998,168,5.952380952380952
1.0,0.0,Q9HDD0,168,5.952380952380952
3.0,0.0,P36896,505,5.9405940594059405
2.0,0.0,P38484,337,5.934718100890208
2.0,1.0,Q9UDY4,337,5.934718100890208
4.0,5.0,Q9BQ70,676,5.9171597633136095
2.0,0.0,P59534,338,5.9171597633136095
2.0,0.0,O76075,338,5.9171597633136095
2.0,0.0,P33241,339,5.899705014749262
2.0,0.0,Q8NH61,342,5.847953216374268
5.0,24.0,P13639,858,5.827505827505828
1.0,0.0,Q96N28,172,5.813953488372093
1.0,6.0,P13693,172,5.813953488372093
1.0,0.0,Q8TCY5,172,5.813953488372093
2.0,0.0,Q8NGC1,345,5.797101449275362
2.0,0.0,Q8NGT1,345,5.797101449275362
1.0,0.0,Q6UWF9,173,5.780346820809248
2.0,0.0,Q8IZA3,346,5.780346820809248
3.0,2.0,Q96S94,520,5.769230769230769
1.0,0.0,P48645,174,5.747126436781609
1.0,0.0,O43324,174,5.747126436781609
2.0,0.0,Q12908,348,5.747126436781609
4.0,8.0,Q53GS7,698,5.730659025787966
2.0,1.0,Q6IBS0,349,5.730659025787966
1.0,0.0,O60895,175,5.714285714285714
1.0,0.0,Q9BPU9,175,5.714285714285714
1.0,0.0,Q9NRX2,175,5.714285714285714
1.0,0.0,P56179,175,5.714285714285714
2.0,7.0,Q07820,350,5.714285714285714
1.0,0.0,Q6JVE9,175,5.714285714285714
1.0,4.0,Q9P032,175,5.714285714285714
2.0,6.0,O75787,350,5.714285714285714
2.0,0.0,O60938,352,5.681818181818182
1.0,2.0,Q9BRG1,176,5.681818181818182
1.0,0.0,Q13519,176,5.681818181818182
1.0,0.0,Q01658,176,5.681818181818182
1.0,6.0,Q02543,176,5.681818181818182
1.0,0.0,Q8IXB3,177,5.649717514124294
1.0,0.0,P62633,177,5.649717514124294
2.0,0.0,Q9Y5W3,355,5.633802816901409
1.0,1.0,Q03135,178,5.617977528089887
3.0,0.0,Q6ZUT6,534,5.617977528089887
1.0,0.0,A1A4G5,178,5.617977528089887
1.0,0.0,O75607,178,5.617977528089887
1.0,0.0,P32321,178,5.617977528089887
1.0,0.0,Q96HR3,178,5.617977528089887
3.0,0.0,Q9UHY1,535,5.607476635514018
2.0,0.0,Q99678,358,5.58659217877095
1.0,2.0,Q9BV57,179,5.58659217877095
1.0,2.0,Q10589,180,5.555555555555555
1.0,0.0,Q8NA96,180,5.555555555555555
1.0,2.0,Q9Y221,180,5.555555555555555
1.0,1.0,P18085,180,5.555555555555555
2.0,0.0,P34972,360,5.555555555555555
1.0,0.0,Q6NZ36,180,5.555555555555555
1.0,0.0,Q8IY57,180,5.555555555555555
1.0,1.0,P07741,180,5.555555555555555
1.0,0.0,Q8WXS3,180,5.555555555555555
2.0,20.0,P01889,362,5.524861878453039
3.0,3.0,Q9NZN4,543,5.524861878453039
2.0,2.0,P35249,363,5.5096418732782375
1.0,0.0,P07498,182,5.4945054945054945
2.0,1.0,Q9NUQ2,364,5.4945054945054945
3.0,0.0,Q86V42,546,5.4945054945054945
2.0,2.0,P04075,364,5.4945054945054945
1.0,0.0,Q9NQE9,182,5.4945054945054945
2.0,0.0,Q9NZR4,365,5.47945205479452
2.0,2.0,Q9Y371,365,5.47945205479452
5.0,21.0,B5ME19,914,5.470459518599562
2.0,0.0,O00442,366,5.46448087431694
1.0,0.0,O00193,183,5.46448087431694
2.0,0.0,O95388,367,5.449591280653951
1.0,1.0,Q9NRW4,184,5.434782608695652
1.0,0.0,Q6P589,184,5.434782608695652
2.0,0.0,Q9BZJ7,368,5.434782608695652
1.0,0.0,Q8IW50,185,5.405405405405405
1.0,0.0,Q8N5I9,185,5.405405405405405
1.0,0.0,Q969M7,185,5.405405405405405
1.0,0.0,P42857,185,5.405405405405405
1.0,1.0,P14209,185,5.405405405405405
2.0,5.0,Q96CX6,371,5.3908355795148255
1.0,0.0,Q969W3,186,5.376344086021506
1.0,0.0,Q5VZQ5,186,5.376344086021506
1.0,0.0,Q5TGS1,186,5.376344086021506
1.0,1.0,O75935,186,5.376344086021506
2.0,3.0,P50750,372,5.376344086021506
1.0,1.0,P62380,186,5.376344086021506
2.0,3.0,Q5VZM2,374,5.347593582887701
2.0,0.0,Q96LA8,375,5.333333333333333
2.0,0.0,Q9NS67,375,5.333333333333333
2.0,0.0,Q01085,375,5.333333333333333
2.0,0.0,Q8NFA2,376,5.319148936170213
1.0,0.0,P13385,188,5.319148936170213
1.0,1.0,Q9NX00,188,5.319148936170213
1.0,0.0,Q14442,188,5.319148936170213
1.0,3.0,Q8IUR0,188,5.319148936170213
2.0,5.0,A6NED2,376,5.319148936170213
2.0,0.0,O60704,377,5.305039787798409
1.0,0.0,Q9NRV9,189,5.291005291005291
1.0,0.0,O95190,189,5.291005291005291
1.0,4.0,Q99497,189,5.291005291005291
2.0,0.0,Q6DKK2,380,5.263157894736842
2.0,4.0,Q96S82,380,5.263157894736842
1.0,0.0,Q9H596,190,5.263157894736842
1.0,1.0,P78317,190,5.263157894736842
1.0,0.0,Q86XA0,190,5.263157894736842
2.0,1.0,Q13601,381,5.2493438320209975
1.0,0.0,Q8TCI5,191,5.235602094240838
1.0,0.0,Q15669,191,5.235602094240838
1.0,0.0,Q9HAF1,191,5.235602094240838
3.0,4.0,P10809,573,5.235602094240838
2.0,0.0,Q2M296,383,5.221932114882507
3.0,0.0,Q8TAU3,575,5.217391304347826
1.0,0.0,Q07812,192,5.208333333333333
1.0,1.0,P56559,192,5.208333333333333
1.0,0.0,Q8N8A8,192,5.208333333333333
2.0,2.0,Q6ZMG9,384,5.208333333333333
1.0,6.0,Q9H9L7,192,5.208333333333333
2.0,0.0,Q8N490,385,5.194805194805195
2.0,0.0,Q3B7J2,385,5.194805194805195
2.0,0.0,Q9NXX6,385,5.194805194805195
1.0,0.0,Q6DN03,193,5.181347150259067
1.0,0.0,Q9BXH1,193,5.181347150259067
3.0,1.0,Q9NVV4,582,5.154639175257732
1.0,0.0,Q8IXQ3,194,5.154639175257732
1.0,0.0,Q8NBC4,194,5.154639175257732
3.0,0.0,P35241,583,5.145797598627787
2.0,10.0,P31350,389,5.141388174807197
2.0,0.0,Q9NPC1,389,5.141388174807197
2.0,3.0,Q6NZI2,390,5.128205128205129
1.0,0.0,Q9ULZ3,195,5.128205128205129
1.0,0.0,Q9H061,195,5.128205128205129
1.0,2.0,Q9NR77,195,5.128205128205129
1.0,0.0,P05000,195,5.128205128205129
1.0,0.0,P13498,195,5.128205128205129
1.0,0.0,A6NEH8,195,5.128205128205129
1.0,4.0,P62341,195,5.128205128205129
3.0,0.0,Q8IWD5,586,5.1194539249146755
2.0,7.0,A6NI72,391,5.115089514066496
1.0,0.0,Q9NVS2,196,5.1020408163265305
1.0,0.0,Q9HCQ7,196,5.1020408163265305
1.0,0.0,Q9UJW9,196,5.1020408163265305
1.0,0.0,Q96GE6,196,5.1020408163265305
1.0,1.0,O15258,196,5.1020408163265305
2.0,2.0,Q9UQ80,394,5.076142131979695
2.0,3.0,O75521,394,5.076142131979695
2.0,0.0,Q8TEY5,395,5.063291139240507
3.0,0.0,Q6UY18,593,5.059021922428331
1.0,1.0,Q8TBF2,198,5.050505050505051
1.0,1.0,Q9BUR5,198,5.050505050505051
1.0,1.0,Q9GZX7,198,5.050505050505051
1.0,0.0,Q6XYB7,198,5.050505050505051
2.0,0.0,Q9H5Q4,396,5.050505050505051
1.0,0.0,P80188,198,5.050505050505051
1.0,0.0,C9J6K1,198,5.050505050505051
1.0,1.0,P30626,198,5.050505050505051
2.0,0.0,Q9HB65,397,5.037783375314861
5.0,0.0,Q8N5C6,995,5.025125628140704
1.0,4.0,Q9H0A8,199,5.025125628140704
1.0,0.0,Q12870,199,5.025125628140704
1.0,1.0,P31941,199,5.025125628140704
2.0,2.0,O14791,398,5.025125628140704
1.0,0.0,F8WCM5,200,5.0
1.0,0.0,Q9Y693,200,5.0
1.0,0.0,P61086,200,5.0
1.0,0.0,Q96NR7,200,5.0
1.0,1.0,Q01995,201,4.975124378109452
2.0,0.0,Q96NG5,402,4.975124378109452
1.0,0.0,O14931,201,4.975124378109452
1.0,0.0,Q9UF72,201,4.975124378109452
2.0,1.0,Q7L0Y3,403,4.962779156327543
1.0,6.0,Q15834,202,4.9504950495049505
1.0,1.0,A0PJW6,202,4.9504950495049505
1.0,1.0,Q9Y6G5,202,4.9504950495049505
1.0,0.0,Q6ZRZ4,202,4.9504950495049505
3.0,0.0,Q7L775,607,4.942339373970346
2.0,0.0,P80365,405,4.938271604938271
1.0,0.0,Q969Q5,203,4.926108374384237
2.0,3.0,P41218,407,4.914004914004914
1.0,0.0,H3BNL1,204,4.901960784313726
5.0,6.0,Q9UII4,1024,4.8828125
3.0,0.0,A7MCY6,615,4.878048780487805
1.0,0.0,Q96PQ5,205,4.878048780487805
1.0,0.0,O15499,205,4.878048780487805
3.0,5.0,P38606,617,4.862236628849271
2.0,0.0,Q8NCC3,412,4.854368932038835
1.0,0.0,Q8IZ16,206,4.854368932038835
2.0,3.0,O95503,412,4.854368932038835
2.0,0.0,Q96ES6,412,4.854368932038835
1.0,0.0,P11234,206,4.854368932038835
2.0,0.0,Q96L50,414,4.830917874396135
1.0,0.0,Q9HAP6,207,4.830917874396135
1.0,0.0,O43320,207,4.830917874396135
1.0,0.0,Q8TAG6,207,4.830917874396135
1.0,0.0,P30405,207,4.830917874396135
2.0,0.0,Q5T2R2,415,4.819277108433735
1.0,0.0,Q71RG6,208,4.807692307692308
1.0,0.0,P31371,208,4.807692307692308
1.0,0.0,Q9Y3B6,208,4.807692307692308
1.0,1.0,Q96MN5,208,4.807692307692308
2.0,0.0,Q93038,417,4.796163069544364
1.0,0.0,Q9NXJ5,209,4.784688995215311
2.0,0.0,P31323,418,4.784688995215311
1.0,0.0,Q9NZD2,209,4.784688995215311
1.0,2.0,Q99627,209,4.784688995215311
2.0,1.0,P53677,418,4.784688995215311
2.0,0.0,Q3ZCV2,418,4.784688995215311
2.0,4.0,P14324,419,4.773269689737471
2.0,1.0,P16930,419,4.773269689737471
1.0,0.0,Q4VC05,210,4.761904761904763
3.0,1.0,P08195,630,4.761904761904763
1.0,0.0,Q8N0U2,210,4.761904761904763
3.0,0.0,O75022,631,4.754358161648177
1.0,0.0,Q9BQ15,211,4.739336492890995
1.0,0.0,Q9BV47,211,4.739336492890995
1.0,0.0,Q9NWM8,211,4.739336492890995
1.0,0.0,P04085,211,4.739336492890995
1.0,0.0,O00161,211,4.739336492890995
1.0,1.0,Q9HBH0,211,4.739336492890995
1.0,0.0,O95816,211,4.739336492890995
2.0,0.0,Q16773,422,4.739336492890995
2.0,3.0,Q96EB1,424,4.716981132075471
3.0,8.0,P11940,636,4.716981132075471
1.0,0.0,P45877,212,4.716981132075471
1.0,2.0,P24390,212,4.716981132075471
1.0,1.0,Q9BUL8,212,4.716981132075471
2.0,3.0,Q8N806,425,4.705882352941176
2.0,0.0,Q9BZG2,426,4.694835680751174
1.0,1.0,Q8N128,213,4.694835680751174
2.0,0.0,O15105,426,4.694835680751174
1.0,1.0,P16403,213,4.694835680751174
1.0,0.0,B9A064,214,4.672897196261682
1.0,3.0,P27635,214,4.672897196261682
2.0,0.0,Q6ZNI0,430,4.651162790697675
1.0,2.0,P67870,215,4.651162790697675
1.0,0.0,Q0VDI3,215,4.651162790697675
2.0,0.0,Q5VUD6,431,4.640371229698376
1.0,4.0,Q7L9L4,216,4.62962962962963
1.0,0.0,Q96F25,216,4.62962962962963
1.0,1.0,P62491,216,4.62962962962963
2.0,0.0,Q8N5I2,433,4.618937644341801
3.0,1.0,Q8NCE2,650,4.615384615384616
1.0,0.0,Q96AJ9,217,4.608294930875576
1.0,0.0,O95484,217,4.608294930875576
1.0,1.0,P82930,218,4.587155963302752
7.0,17.0,P11388,1531,4.57217504898759
1.0,8.0,P10412,219,4.5662100456621
1.0,4.0,Q9Y255,219,4.5662100456621
2.0,0.0,O95395,438,4.5662100456621
2.0,0.0,P04180,440,4.545454545454545
1.0,0.0,A6NCQ9,220,4.545454545454545
1.0,0.0,Q14129,220,4.545454545454545
1.0,0.0,Q8IXH6,220,4.545454545454545
1.0,0.0,O15551,220,4.545454545454545
2.0,4.0,Q9BX95,441,4.535147392290249
2.0,0.0,Q86UN2,441,4.535147392290249
1.0,1.0,Q9BT30,221,4.524886877828055
1.0,4.0,Q9NP50,221,4.524886877828055
